Datetime,XGBModel_4 Hours Ahead (kW),XGBModel_8 Hours Ahead (kW),NBEATSModel_4 Hours Ahead (kW),NBEATSModel_8 Hours Ahead (kW),Actual load (kW),Actual load (kW)_4,Actual load (kW)_8,energy_prices_dol_kwh
8/2/2019 1:00,1.713328123,1.713328123,1.644936719,1.644936719,1.511556942,1.511556942,1.511556942,0.07876508
8/2/2019 2:00,0.917267978,0.917267978,0.981988669,0.981988669,0.89434553,0.89434553,0.89434553,0.07452089
8/2/2019 3:00,0.360444874,0.360444874,0.475666863,0.475666863,0.369799972,0.369799972,0.369799972,0.07369973
8/2/2019 4:00,0.196708843,0.196708843,0.166706192,0.166706192,1.00E-06,1.00E-06,1.00E-06,0.07494958
8/2/2019 5:00,0.206859618,0.096443392,0.040482328,0.048497848,0.170452446,0.170452446,0.170452446,0.07941389
8/2/2019 6:00,0.220042825,0.073005617,0.100120058,0.092244015,0.193265583,0.193265583,0.193265583,0.09540189
8/2/2019 7:00,0.515843391,0.284468561,0.53299172,0.332128542,1.015706221,1.015706221,1.015706221,0.0789874
8/2/2019 8:00,1.270670056,1.030867696,1.607126981,0.924186486,1.691991419,1.691991419,1.691991419,0.07373267
8/2/2019 9:00,2.01640296,2.01640296,1.519277181,1.519277181,0.9587465,0.9587465,0.9587465,0.0725828
8/2/2019 10:00,2.045186758,2.045186758,2.728905636,2.728905636,0.948750474,0.948750474,0.948750474,0.07358129
8/2/2019 11:00,2.68705368,2.68705368,3.14131515,3.14131515,2.684981246,2.684981246,2.684981246,0.07641483
8/2/2019 12:00,3.066137791,3.066137791,3.283188056,3.283188056,3.771872998,3.771872998,3.771872998,0.0837149
8/2/2019 13:00,3.384012461,3.016535521,2.972222,3.16031711,5.467408077,5.467408077,5.467408077,0.09011692
8/2/2019 14:00,3.116005898,2.966010332,3.481722997,3.811702934,3.728294227,3.728294227,3.728294227,0.09292034
8/2/2019 15:00,3.40400815,3.365136862,3.255171653,3.617297041,3.247659804,3.247659804,3.247659804,0.09161203
8/2/2019 16:00,3.267779112,3.380403996,3.061317329,3.40463874,2.847921168,2.847921168,2.847921168,0.09761836
8/2/2019 17:00,3.188778162,3.188778162,2.42739656,2.42739656,2.944406663,2.944406663,2.944406663,0.11626418
8/2/2019 18:00,3.486466169,3.486466169,3.198941691,3.198941691,3.938627749,3.938627749,3.938627749,0.12103533
8/2/2019 19:00,4.171066761,4.171066761,3.988872321,3.988872321,6.986812613,6.986812613,6.986812613,0.15615279
8/2/2019 20:00,4.491464615,4.491464615,4.284315226,4.284315226,5.175406614,5.175406614,5.175406614,0.1281284
8/2/2019 21:00,4.471745014,4.424354076,4.41357167,4.094459557,4.881071194,4.881071194,4.881071194,0.116834
8/2/2019 22:00,3.994898081,3.726989746,4.335872607,4.058660017,3.423343051,3.423343051,3.423343051,0.09309992
8/2/2019 23:00,2.964018822,2.931463003,3.303487902,3.155231654,4.744971831,4.744971831,4.744971831,0.08486665
8/3/2019 0:00,2.548453569,2.61689496,2.34998395,2.509721565,3.181914223,3.181914223,3.181914223,0.07800997
8/3/2019 1:00,2.259811878,2.259811878,1.739535939,1.739535939,2.596233832,2.596233832,2.596233832,0.07626119
8/3/2019 2:00,1.160089612,1.160089612,1.147537385,1.147537385,2.248704002,2.248704002,2.248704002,0.07244677
8/3/2019 3:00,0.379904121,0.379904121,0.458295326,0.458295326,1.513256026,1.513256026,1.513256026,0.07147879
8/3/2019 4:00,0.066688813,0.066688813,0.103992343,0.103992343,0.33431136,0.33431136,0.33431136,0.07291623
8/3/2019 5:00,0.068356909,0.093405187,0.024298516,0.038711659,0.643832527,0.643832527,0.643832527,0.07885921
8/3/2019 6:00,0.070480943,0.123955771,0.05641808,0.143831695,0.036111085,0.036111085,0.036111085,0.09046321
8/3/2019 7:00,0.319153637,0.414418995,0.283597936,0.578705593,0.152746859,0.152746859,0.152746859,0.07795832
8/3/2019 8:00,0.954002082,1.459969282,0.620798339,1.278450958,1.00E-06,1.00E-06,1.00E-06,0.07148681
8/3/2019 9:00,0.479908854,0.479908854,0.503513439,0.503513439,0.738873974,0.738873974,0.738873974,0.07017779
8/3/2019 10:00,1.485030413,1.485030413,1.811306003,1.811306003,4.026451666,4.026451666,4.026451666,0.07164583
8/3/2019 11:00,2.380929708,2.380929708,2.992391444,2.992391444,8.321207524,8.321207524,8.321207524,0.07562154
8/3/2019 12:00,3.373067379,3.373067379,4.181291636,4.181291636,3.32166252,3.32166252,3.32166252,0.08061858
8/3/2019 13:00,4.117968082,3.636930704,4.717584418,4.02977763,5.325140158,5.325140158,5.325140158,0.08665837
8/3/2019 14:00,4.257191658,3.799581051,4.981022198,4.784760267,4.944853026,4.944853026,4.944853026,0.09319115
8/3/2019 15:00,3.850944519,3.635099649,4.206315406,4.270414533,6.957122728,6.957122728,6.957122728,0.09563498
8/3/2019 16:00,3.681778431,3.315079689,4.007101635,3.807800996,10.91600278,10.91600278,10.91600278,0.09229265
8/3/2019 17:00,6.068181038,6.068181038,6.418158063,6.418158063,6.731706699,6.731706699,6.731706699,0.09459962
8/3/2019 18:00,5.137261391,5.137261391,5.941783766,5.941783766,1.910250556,1.910250556,1.910250556,0.12146863
8/3/2019 19:00,4.589944839,4.589944839,7.141629338,7.141629338,5.044613345,5.044613345,5.044613345,0.14731378
8/3/2019 20:00,4.99756813,4.99756813,6.910533224,6.910533224,2.861473754,2.861473754,2.861473754,0.11970532
8/3/2019 21:00,4.639324665,4.774731636,3.982737128,6.207396969,5.463700909,5.463700909,5.463700909,0.10502055
8/3/2019 22:00,4.032216072,4.000124931,4.601793336,6.161669134,4.373421749,4.373421749,4.373421749,0.08722923
8/3/2019 23:00,4.202934742,4.310940266,4.061510065,4.678387485,2.781385974,2.781385974,2.781385974,0.08131527
8/4/2019 0:00,2.969851017,3.019992828,3.538701088,3.130493372,2.777697694,2.777697694,2.777697694,0.0796925
8/4/2019 1:00,2.207140207,2.207140207,2.098592284,2.098592284,2.967020251,2.967020251,2.967020251,0.0747383
8/4/2019 2:00,1.517176747,1.517176747,1.565251566,1.565251566,1.747127865,1.747127865,1.747127865,0.0728242
8/4/2019 3:00,0.986892462,0.986892462,0.980085437,0.980085437,0.540535529,0.540535529,0.540535529,0.07056582
8/4/2019 4:00,0.489078134,0.489078134,0.46059003,0.46059003,0.349005529,0.349005529,0.349005529,0.07117121
8/4/2019 5:00,0.123790391,0.325228333,0.146959749,0.26445856,0.204695671,0.204695671,0.204695671,0.07280654
8/4/2019 6:00,0.067722529,0.271851748,0.103011415,0.241614955,0.404849612,0.404849612,0.404849612,0.09039498
8/4/2019 7:00,0.15306215,0.187227264,0.091763388,0.241149108,0.161110471,0.161110471,0.161110471,0.07325255
8/4/2019 8:00,0.268399358,0.300623089,0.272509785,0.364466756,1.00E-06,1.00E-06,1.00E-06,0.07132984
8/4/2019 9:00,0.88804692,0.88804692,0.602438954,0.602438954,1.015975003,1.015975003,1.015975003,0.07026864
8/4/2019 10:00,2.518484592,2.518484592,2.388178026,2.388178026,2.705114422,2.705114422,2.705114422,0.07226515
8/4/2019 11:00,3.712519169,3.712519169,4.030524243,4.030524243,3.593613782,3.593613782,3.593613782,0.07675932
8/4/2019 12:00,3.915697098,3.915697098,5.288543564,5.288543564,6.867608947,6.867608947,6.867608947,0.07868093
8/4/2019 13:00,5.222023487,4.260500431,5.605226806,4.853412219,5.61130338,5.61130338,5.61130338,0.0843555
8/4/2019 14:00,4.325415611,4.248199463,6.252441164,4.92586439,5.314721254,5.314721254,5.314721254,0.09115256
8/4/2019 15:00,4.073529243,3.023649693,5.466318976,4.164801815,3.518961753,3.518961753,3.518961753,0.09280161
8/4/2019 16:00,3.597606659,2.994426966,4.866711139,4.472529495,4.05841714,4.05841714,4.05841714,0.09010251
8/4/2019 17:00,3.734397173,3.734397173,3.418967044,3.418967044,2.507454285,2.507454285,2.507454285,0.0854381
8/4/2019 18:00,3.395435333,3.395435333,3.84233471,3.84233471,2.533955562,2.533955562,2.533955562,0.10800036
8/4/2019 19:00,4.293480873,4.293480873,4.700977301,4.700977301,2.806815478,2.806815478,2.806815478,0.13854124
8/4/2019 20:00,3.836906672,3.836906672,5.230113182,5.230113182,2.120266723,2.120266723,2.120266723,0.11687516
8/4/2019 21:00,3.904002905,4.490972996,3.631006675,5.206849821,4.267159524,4.267159524,4.267159524,0.1026113
8/4/2019 22:00,3.540718317,4.150047302,4.741524909,5.085094944,2.782461784,2.782461784,2.782461784,0.08706787
8/4/2019 23:00,3.567360401,3.553731203,3.550094878,4.28718639,2.289735056,2.289735056,2.289735056,0.08003619
8/5/2019 0:00,3.019700527,2.935364723,2.993812796,3.385222199,2.305472976,2.305472976,2.305472976,0.07615268
8/5/2019 1:00,2.002137899,2.002137899,1.919044142,1.919044142,1.311548141,1.311548141,1.311548141,0.07423464
8/5/2019 2:00,1.18544817,1.18544817,1.562509399,1.562509399,0.362932776,0.362932776,0.362932776,0.07277233
8/5/2019 3:00,0.822619617,0.822619617,0.722995671,0.722995671,0.470162056,0.470162056,0.470162056,0.07244551
8/5/2019 4:00,0.284334481,0.284334481,0.334398736,0.334398736,0.225963693,0.225963693,0.225963693,0.07260926
8/5/2019 5:00,0.041952226,0.174366727,0.035312867,0.130183638,0.330909192,0.330909192,0.330909192,0.07624003
8/5/2019 6:00,0.070033275,0.087002419,0.086610443,0.143992019,1.00E-06,1.00E-06,1.00E-06,0.08571308
8/5/2019 7:00,0.100323461,0.05291843,0.234152883,0.131635303,0.891173554,0.891173554,0.891173554,0.07601623
8/5/2019 8:00,0.844081938,0.333930939,0.607929152,0.268355518,1.700175421,1.700175421,1.700175421,0.07290022
8/5/2019 9:00,2.119146585,2.119146585,1.726266525,1.726266525,4.363786921,4.363786921,4.363786921,0.07190959
8/5/2019 10:00,2.442352057,2.442352057,2.650398226,2.650398226,3.915621333,3.915621333,3.915621333,0.07501338
8/5/2019 11:00,3.146162033,3.146162033,2.75904686,2.75904686,2.808029667,2.808029667,2.808029667,0.07953442
8/5/2019 12:00,3.551239491,3.551239491,3.387000569,3.387000569,4.298129085,4.298129085,4.298129085,0.08657124
8/5/2019 13:00,4.163100243,3.779384375,3.365024266,3.335247541,5.374015172,5.374015172,5.374015172,0.09387086
8/5/2019 14:00,3.519592524,3.735095978,3.620292956,3.498392825,1.612303167,1.612303167,1.612303167,0.09770826
8/5/2019 15:00,3.306050301,3.484734774,3.525639183,3.456562603,4.064574546,4.064574546,4.064574546,0.10465915
8/5/2019 16:00,3.326460123,3.215110779,3.282634931,3.168183061,3.10293497,3.10293497,3.10293497,0.11111678
8/5/2019 17:00,3.178314209,3.178314209,2.874622099,2.874622099,3.582558498,3.582558498,3.582558498,0.12301188
8/5/2019 18:00,3.128865719,3.128865719,3.624749258,3.624749258,3.657013919,3.657013919,3.657013919,0.14139145
8/5/2019 19:00,3.552275181,3.552275181,4.14178586,4.14178586,7.928733497,7.928733497,7.928733497,0.15705714
8/5/2019 20:00,3.568270683,3.568270683,3.977229339,3.977229339,2.990072942,2.990072942,2.990072942,0.12575372
8/5/2019 21:00,3.487063885,3.521655798,3.31992459,3.77029058,8.69189669,8.69189669,8.69189669,0.11266645
8/5/2019 22:00,3.08922863,3.197013617,3.33676425,3.641766732,5.518804942,5.518804942,5.518804942,0.09274067
8/5/2019 23:00,2.369238853,2.457970619,2.513521053,2.923592366,4.233449192,4.233449192,4.233449192,0.08434845
8/6/2019 0:00,1.831399798,1.847734571,1.747764588,2.138973592,3.448343999,3.448343999,3.448343999,0.08287587
8/6/2019 1:00,2.003309727,2.003309727,1.824853084,1.824853084,1.432305413,1.432305413,1.432305413,0.07891733
8/6/2019 2:00,0.892026722,0.892026722,1.065738668,1.065738668,0.563150637,0.563150637,0.563150637,0.07532671
8/6/2019 3:00,0.336716175,0.336716175,0.546321362,0.546321362,0.058216335,0.058216335,0.058216335,0.07578995
8/6/2019 4:00,0.143015057,0.143015057,0.098167439,0.098167439,0.053220916,0.053220916,0.053220916,0.07579816
8/6/2019 5:00,0.018493637,0.094258703,0.084115094,0.030877223,1.251056661,1.251056661,1.251056661,0.08018792
8/6/2019 6:00,0.191275805,0.13581112,0.204318611,0.122584906,1.00E-06,1.00E-06,1.00E-06,0.09158533
8/6/2019 7:00,1.127157807,0.484575778,0.930525597,0.628851653,0.81312208,0.81312208,0.81312208,0.07775339
8/6/2019 8:00,1.833135009,1.289245129,2.337255016,1.656692393,2.125211525,2.125211525,2.125211525,0.07574894
8/6/2019 9:00,2.698887348,2.698887348,2.572480991,2.572480991,0.650665725,0.650665725,0.650665725,0.07438539
8/6/2019 10:00,2.735660791,2.735660791,3.327616935,3.327616935,3.580895444,3.580895444,3.580895444,0.07530184
8/6/2019 11:00,3.170229912,3.170229912,3.340200268,3.340200268,2.705644083,2.705644083,2.705644083,0.07868717
8/6/2019 12:00,3.354642153,3.354642153,3.623059749,3.623059749,4.697214419,4.697214419,4.697214419,0.08427477
8/6/2019 13:00,4.235068321,3.203154087,3.649448324,3.754279534,4.521014971,4.521014971,4.521014971,0.09171194
8/6/2019 14:00,4.081411362,4.019427776,3.810101852,3.690320581,2.060289946,2.060289946,2.060289946,0.09660517
8/6/2019 15:00,3.648449898,3.412542582,3.852527025,3.7323741,5.038812301,5.038812301,5.038812301,0.10303217
8/6/2019 16:00,3.21272254,3.014218807,3.810137294,3.297498978,2.104394173,2.104394173,2.104394173,0.09999447
8/6/2019 17:00,2.778418779,2.778418779,2.423313145,2.423313145,1.183415334,1.183415334,1.183415334,0.12095366
8/6/2019 18:00,3.013063908,3.013063908,3.672289222,3.672289222,1.23117356,1.23117356,1.23117356,0.13734055
8/6/2019 19:00,4.418846607,4.418846607,4.982849991,4.982849991,2.917617974,2.917617974,2.917617974,0.1474976
8/6/2019 20:00,3.710902691,3.710902691,4.833314863,4.833314863,3.994435443,3.994435443,3.994435443,0.12433321
8/6/2019 21:00,4.308451653,3.837012529,4.080387544,5.173078713,5.766732421,5.766732421,5.766732421,0.1110475
8/6/2019 22:00,4.34455061,4.338111401,4.702257746,5.05237318,2.344129945,2.344129945,2.344129945,0.09669337
8/6/2019 23:00,3.488362789,3.35902977,3.48050758,3.808613879,3.135861472,3.135861472,3.135861472,0.0893017
8/7/2019 0:00,2.704139233,2.698676825,2.45455072,2.748959843,2.398451475,2.398451475,2.398451475,0.08363842
